"LSOA11CD","imdscore","imdrank"
"E01031434",22.464,12424
"E01031441",27.5,9457
"E01031442",19.247,14830
"E01031416",6.012,29168
"E01031418",8.877,25597
"E01031419",14.918,18723
"E01031420",9.258,25131
"E01031421",12.463,21258
"E01031443",26.251,10154
"E01031444",31.051,7737
"E01031450",38.625,4915
"E01031451",31.688,7437
"E01031452",15.818,17807
"E01031431",18.912,15133
"E01031432",37.309,5356
"E01031435",24.264,11277
"E01031436",44.101,3392
"E01031437",34.292,6417
"E01031453",26.147,10209
"E01031380",5.43,29837
"E01031381",11.453,22453
"E01031382",10.799,23259
"E01031383",5.087,30206
"E01031384",6.829,28198
"E01031385",18.337,15593
"E01031445",15.431,18214
"E01031446",7.48,27392
"E01031447",13.573,20076
"E01031448",16.362,17328
"E01031449",14.717,18924
"E01027979",16.278,17397
"E01027980",38.58,4929
"E01027981",22.281,12552
"E01027983",39.024,4795
"E01027970",14.248,19392
"E01027971",14.646,18995
"E01027982",21.974,12767
"E01027984",12.153,21612
"E01027966",49,2418
"E01027986",38.817,4852
"E01027987",36.17,5707
"E01027990",13.455,20222
"E01027967",34.122,6486
"E01027972",17.831,16036
"E01027977",30.392,8046
"E01027978",50.859,2078
"E01027985",22.554,12354
"E01027964",33.56,6688
"E01027965",49.227,2363
"E01027968",52.323,1832
"E01027974",63.816,622
"E01027976",40.892,4257
"E01027969",24.77,10982
"E01027975",20.901,13544
"E01027988",13.842,19788
"E01027989",16.525,17182
"E01027991",28.313,9011
"E01027992",6.2,28929
"E01027949",17.461,16365
"E01027951",57.143,1210
"E01027953",19.216,14854
"E01027954",33.05,6898
"E01027973",10.321,23823
"E01027952",41.836,3961
"E01027955",30.897,7803
"E01027956",49.122,2388
"E01027958",38.373,5011
"E01027947",17.589,16249
"E01027948",16.606,17105
"E01027950",23.385,11810
"E01027957",26.096,10234
"E01027959",9.023,25426
"E01027995",11.631,22230
"E01027996",26.256,10146
"E01027997",16.413,17279
"E01027998",18.843,15195
"E01027960",26.613,9931
"E01027961",11.245,22715
"E01027962",15.697,17928
"E01027963",23.244,11887
"E01027945",19.862,14375
"E01027946",18.444,15514
"E01027993",9.778,24485
"E01027994",14.183,19447
"E01027929",22.851,12160
"E01027931",30.281,8113
"E01027934",6.951,28037
"E01027935",25.072,10824
"E01027936",6.845,28169
"E01027927",28.532,8903
"E01027928",25.435,10616
"E01027932",20.469,13862
"E01027933",24.367,11220
"E01027937",38.329,5030
"E01027925",15.506,18134
"E01027938",8.677,25874
"E01027940",9.731,24536
"E01027943",20.926,13527
"E01027944",10.161,24004
"E01027926",14.425,19210
"E01027930",47.9,2621
"E01027939",49.565,2296
"E01027941",21.17,13329
"E01027942",41.107,4190
"E01023987",15.727,17885
"E01023988",15.904,17723
"E01024040",16.814,16912
"E01024041",7.894,26880
"E01032810",24.845,10950
"E01032812",8.961,25504
"E01023985",15.58,18058
"E01023986",16.81,16916
"E01023989",8.613,25964
"E01023990",34.272,6422
"E01024033",20.276,14004
"E01024035",12.689,21020
"E01023983",9.063,25369
"E01023999",6.233,28890
"E01032811",11.171,22803
"E01032822",11.201,22769
"E01023980",16.161,17488
"E01023981",24.335,11243
"E01023984",32.916,6952
"E01023992",18.754,15270
"E01023993",7.966,26790
"E01024021",16.462,17238
"E01024022",15.737,17874
"E01032820",11.768,22066
"E01032821",7.482,27385
"E01023973",38.046,5117
"E01024002",23.6,11683
"E01024023",17.213,16570
"E01024027",26.254,10149
"E01024029",22.838,12171
"E01023972",27.309,9557
"E01023995",6.037,29136
"E01023996",5.223,30064
"E01024003",11.437,22476
"E01024004",9.641,24649
"E01024005",15.111,18530
"E01023974",36.459,5612
"E01023975",33.949,6543
"E01023977",16.69,17034
"E01024016",15.096,18548
"E01024017",8.955,25511
"E01024028",38.147,5083
