"MSOA11CD","LSOA11CD"
"E02000053","E01000147"
"E02000054","E01000240"
"E02000054","E01000241"
"E02000054","E01000309"
"E02000054","E01000239"
"E02000055","E01000237"
"E02000055","E01000244"
"E02000055","E01000314"
"E02000055","E01000243"
"E02000055","E01000242"
"E02000055","E01000245"
"E02000056","E01000183"
"E02000056","E01000208"
"E02000056","E01000206"
"E02000056","E01000213"
"E02000056","E01000210"
"E02000056","E01000207"
"E02000057","E01000238"
"E02000057","E01000310"
"E02000057","E01000236"
"E02000057","E01000311"
"E02000058","E01000205"
"E02000058","E01000217"
"E02000058","E01000211"
"E02000058","E01000216"
"E02000058","E01000209"
"E02000058","E01000212"
"E02000059","E01000306"
"E02000059","E01000312"
"E02000059","E01000313"
"E02000059","E01000305"
"E02000059","E01000308"
"E02000059","E01000150"
"E02000060","E01000219"
"E02000060","E01000225"
"E02000060","E01000218"
"E02000060","E01000145"
"E02000060","E01000215"
"E02000060","E01000220"
"E02000061","E01000214"
"E02000061","E01000136"
"E02000061","E01000146"
"E02000061","E01000144"
"E02000061","E01000135"
"E02000062","E01000221"
"E02000062","E01000307"
"E02000062","E01000141"
"E02000062","E01000223"
"E02000063","E01000138"
"E02000063","E01000224"
"E02000063","E01000142"
"E02000063","E01000222"
"E02000064","E01000137"
"E02000064","E01000140"
"E02000064","E01000143"
"E02000064","E01000139"
"E02000065","E01000467"
"E02000065","E01000466"
"E02000065","E01000469"
"E02000065","E01000468"
"E02000066","E01000465"
"E02000066","E01000470"
"E02000066","E01000416"
"E02000066","E01000418"
"E02000066","E01000422"
"E02000066","E01000464"
"E02000067","E01000338"
"E02000067","E01000336"
"E02000067","E01000337"
"E02000067","E01000333"
"E02000067","E01000335"
"E02000068","E01000405"
"E02000068","E01000404"
"E02000068","E01000408"
"E02000068","E01000403"
"E02000069","E01000332"
"E02000069","E01000402"
"E02000069","E01000406"
"E02000069","E01000407"
"E02000070","E01000442"
"E02000070","E01000419"
"E02000070","E01000417"
"E02000070","E01000334"
"E02000070","E01000420"
"E02000071","E01000438"
"E02000071","E01000437"
"E02000071","E01000440"
"E02000071","E01000441"
"E02000071","E01000439"
"E02000072","E01000431"
"E02000072","E01000373"
"E02000072","E01000429"
"E02000072","E01000433"
"E02000072","E01000432"
"E02000072","E01000430"
"E02000072","E01000434"
"E02000073","E01000450"
"E02000073","E01000421"
"E02000073","E01000452"
"E02000073","E01000451"
"E02000073","E01000356"
"E02000073","E01000359"
"E02000073","E01000357"
"E02000074","E01000367"
"E02000074","E01000368"
"E02000074","E01000372"
"E02000074","E01000435"
"E02000074","E01000380"
"E02000075","E01000354"
"E02000075","E01000355"
"E02000075","E01000358"
"E02000075","E01000353"
"E02000075","E01000436"
"E02000077","E01000455"
"E02000077","E01000454"
"E02000077","E01000453"
"E02000077","E01000456"
"E02000077","E01000401"
"E02000078","E01000325"
"E02000078","E01000371"
"E02000078","E01000370"
"E02000078","E01000369"
"E02000078","E01000326"
"E02000079","E01000360"
"E02000079","E01000366"
"E02000079","E01000365"
"E02000079","E01000394"
"E02000079","E01000362"
"E02000080","E01000415"
"E02000080","E01000411"
"E02000080","E01000388"
"E02000080","E01000392"
"E02000080","E01000409"
"E02000080","E01000414"
"E02000081","E01000328"
"E02000081","E01000331"
"E02000081","E01000330"
"E02000081","E01000329"
"E02000081","E01000327"
"E02000082","E01000413"
"E02000082","E01000410"
"E02000082","E01000396"
"E02000082","E01000412"
"E02000082","E01000395"
"E02000082","E01000340"
"E02000083","E01000378"
"E02000083","E01000377"
"E02000083","E01000375"
"E02000083","E01000374"
"E02000083","E01000376"
"E02000083","E01000379"
"E02000084","E01000361"
"E02000084","E01000389"
"E02000084","E01000348"
"E02000084","E01000390"
"E02000084","E01000363"
"E02000084","E01000349"
"E02000084","E01000393"
"E02000085","E01000350"
"E02000085","E01000391"
"E02000085","E01000347"
"E02000085","E01000346"
"E02000085","E01000352"
"E02000086","E01000341"
"E02000086","E01000460"
"E02000086","E01000343"
"E02000086","E01000342"
"E02000086","E01000345"
"E02000087","E01000444"
"E02000087","E01000449"
"E02000087","E01000448"
"E02000087","E01000364"
"E02000087","E01000447"
"E02000088","E01000445"
"E02000088","E01000446"
"E02000088","E01000351"
"E02000088","E01000443"
"E02000088","E01000461"
"E02000089","E01000425"
"E02000089","E01000344"
"E02000089","E01000463"
"E02000089","E01000339"
"E02000089","E01000423"
"E02000090","E01000457"
"E02000090","E01000462"
"E02000090","E01000426"
"E02000090","E01000427"
"E02000090","E01000424"
"E02000091","E01000384"
"E02000091","E01000382"
"E02000091","E01000459"
"E02000091","E01000458"
"E02000091","E01000428"
"E02000091","E01000387"
"E02000092","E01000383"
"E02000092","E01000386"
"E02000092","E01000385"
"E02000092","E01000381"
"E02000093","E01000592"
"E02000093","E01000589"
"E02000093","E01000590"
"E02000093","E01000594"
"E02000093","E01000587"
"E02000093","E01000593"
"E02000094","E01000520"
"E02000094","E01000513"
"E02000094","E01000514"
"E02000094","E01000588"
"E02000094","E01000516"
"E02000095","E01000517"
"E02000095","E01000515"
"E02000095","E01000543"
"E02000095","E01000591"
"E02000095","E01033463"
"E02000096","E01000540"
"E02000096","E01000536"
"E02000096","E01000541"
"E02000096","E01000538"
"E02000096","E01000539"
"E02000097","E01000629"
"E02000097","E01000623"
"E02000097","E01000518"
"E02000097","E01000519"
"E02000097","E01000624"
"E02000098","E01000480"
"E02000098","E01000485"
"E02000098","E01000484"
"E02000098","E01000486"
"E02000098","E01000487"
"E02000099","E01000575"
"E02000099","E01000573"
"E02000099","E01000577"
"E02000099","E01000572"
"E02000099","E01000574"
"E02000100","E01000568"
"E02000100","E01000563"
"E02000100","E01000562"
"E02000100","E01000569"
"E02000100","E01000566"
"E02000101","E01000625"
"E02000101","E01000481"
"E02000101","E01000482"
"E02000101","E01000483"
"E02000101","E01000479"
"E02000102","E01033464"
"E02000102","E01000626"
"E02000102","E01000622"
"E02000102","E01000498"
"E02000103","E01000503"
"E02000103","E01000497"
"E02000103","E01000499"
"E02000103","E01000502"
"E02000103","E01000501"
"E02000104","E01000578"
"E02000104","E01000576"
"E02000104","E01000570"
"E02000104","E01000571"
"E02000105","E01000564"
"E02000105","E01000613"
"E02000105","E01000608"
"E02000105","E01000565"
"E02000105","E01000607"
"E02000106","E01000627"
"E02000106","E01000510"
"E02000106","E01000511"
"E02000106","E01000509"
"E02000106","E01000506"
"E02000106","E01000628"
"E02000107","E01000558"
"E02000107","E01000554"
"E02000107","E01000555"
"E02000107","E01000553"
"E02000107","E01000557"
"E02000107","E01000556"
"E02000108","E01000606"
"E02000108","E01000567"
"E02000108","E01000611"
"E02000108","E01000609"
"E02000109","E01000615"
"E02000109","E01000617"
"E02000109","E01033457"
"E02000109","E01033424"
"E02000109","E01000618"
"E02000109","E01000619"
"E02000110","E01000507"
"E02000110","E01000559"
"E02000110","E01000505"
"E02000110","E01000512"
"E02000110","E01000504"
"E02000111","E01000610"
"E02000111","E01000634"
"E02000111","E01000633"
"E02000111","E01000631"
"E02000111","E01000612"
"E02000112","E01000635"
"E02000112","E01000620"
"E02000112","E01000616"
"E02000112","E01000636"
"E02000112","E01000621"
"E02000113","E01000603"
"E02000113","E01000605"
"E02000113","E01000601"
"E02000113","E01000602"
"E02000113","E01000604"
"E02000113","E01000596"
"E02000114","E01000642"
"E02000114","E01000644"
"E02000114","E01000488"
"E02000114","E01000637"
"E02000114","E01000639"
"E02000115","E01000561"
"E02000115","E01000494"
"E02000115","E01000560"
"E02000115","E01000495"
"E02000115","E01000490"
"E02000116","E01000640"
"E02000116","E01000638"
"E02000116","E01000643"
"E02000116","E01000641"
"E02000117","E01000528"
"E02000117","E01000508"
"E02000117","E01000526"
"E02000117","E01000521"
"E02000117","E01000522"
"E02000117","E01000527"
"E02000118","E01000630"
"E02000118","E01000474"
"E02000118","E01000477"
"E02000118","E01000476"
"E02000118","E01000471"
"E02000119","E01000595"
"E02000119","E01000600"
"E02000119","E01033456"
"E02000119","E01000599"
"E02000120","E01000548"
"E02000120","E01000547"
"E02000120","E01000549"
"E02000120","E01000545"
"E02000120","E01000546"
"E02000121","E01000475"
"E02000121","E01000472"
"E02000121","E01000473"
"E02000121","E01000632"
"E02000121","E01000478"
"E02000122","E01000492"
"E02000122","E01000581"
"E02000122","E01000491"
"E02000122","E01000493"
"E02000122","E01000489"
"E02000123","E01033485"
"E02000123","E01000524"
"E02000123","E01000525"
"E02000123","E01000523"
"E02000123","E01033455"
"E02000123","E01000533"
"E02000123","E01000535"
"E02000124","E01000586"
"E02000124","E01000583"
"E02000124","E01000580"
"E02000124","E01000582"
"E02000124","E01000579"
"E02000125","E01000530"
"E02000125","E01000531"
"E02000125","E01000532"
"E02000125","E01000584"
"E02000125","E01000534"
"E02000125","E01000585"
"E02000126","E01000544"
"E02000126","E01000551"
"E02000126","E01000550"
"E02000126","E01000552"
"E02000127","E01000779"
"E02000127","E01000782"
"E02000127","E01000780"
"E02000127","E01000781"
"E02000127","E01000783"
"E02000127","E01000785"
"E02000128","E01000691"
"E02000128","E01000784"
"E02000128","E01000689"
"E02000128","E01000690"
"E02000128","E01000692"
"E02000130","E01000799"
"E02000130","E01000803"
"E02000130","E01000802"
"E02000130","E01000804"
"E02000130","E01000805"
"E02000131","E01000745"
"E02000131","E01000742"
